time_bin,avg_turns,session_count,frac_ge2,frac_ge3
0,85.0,1,1.0,1.0
14400,1.0,1,0.0,0.0
18000,5.0,1,1.0,1.0
25200,5.0,2,0.5,0.5
28800,1914.0,1,1.0,1.0
61200,28.8,10,1.0,0.9
64800,581.0,2,1.0,0.5
93600,8.0,1,1.0,1.0
97200,6.5,2,0.5,0.5
104400,596.0,1,1.0,1.0
126000,251.5,2,1.0,1.0
136800,1078.0,2,1.0,1.0
198000,464.0,1,1.0,1.0
212400,2050.0,1,1.0,1.0
273600,7.0,1,1.0,1.0
277200,1.0,1,0.0,0.0
284400,542.0,1,1.0,1.0
313200,547.0,2,1.0,1.0
356400,8.0,1,1.0,1.0
360000,10.0,1,1.0,1.0
363600,2.0,1,1.0,0.0
374400,1328.0,1,1.0,1.0
417600,812.0,1,1.0,1.0
446400,11.0,2,0.5,0.5
457200,77.0,1,1.0,1.0
464400,279.0,1,1.0,1.0
468000,121.375,8,0.75,0.75
486000,35.857142857142854,7,0.8571428571428571,0.42857142857142855
489600,59.833333333333336,6,0.8333333333333334,0.8333333333333334
493200,717.0,1,1.0,1.0
507600,8.0,1,1.0,1.0
511200,18.22222222222222,9,0.4444444444444444,0.4444444444444444
514800,36.5,10,0.8,0.5
540000,9.0,1,1.0,1.0
543600,202.0,1,1.0,1.0
550800,1.4757281553398058,103,0.1262135922330097,0.04854368932038835
554400,9.907142857142857,140,0.06428571428571428,0.014285714285714285
572400,235.0,2,1.0,1.0
583200,1020.0,1,1.0,1.0
612000,2.5,2,0.5,0.5
615600,1.0,1,0.0,0.0
622800,8.0,1,1.0,1.0
630000,1.0,1,0.0,0.0
633600,418.0,1,1.0,1.0
640800,53.2,5,1.0,0.8
648000,22.75,12,0.4166666666666667,0.3333333333333333
655200,115.5,2,1.0,1.0
658800,69.2,5,1.0,1.0
662400,37.0,4,1.0,0.75
666000,139.66666666666666,3,1.0,1.0
669600,62.5,4,0.5,0.5
676800,205.0,1,1.0,1.0
680400,378.0,1,1.0,1.0
684000,7.0,5,0.6,0.6
687600,18.666666666666668,15,0.7333333333333333,0.5333333333333333
691200,57.25,4,0.75,0.75
712800,22.0,1,1.0,1.0
720000,7.75,4,0.5,0.25
723600,12.695652173913043,23,0.9565217391304348,0.8260869565217391
727200,28.52173913043478,23,0.782608695652174,0.5652173913043478
730800,387.0,1,1.0,1.0
741600,2.124561403508772,570,0.03508771929824561,0.017543859649122806
745200,206.0,1,1.0,1.0
748800,233.0,2,1.0,1.0
756000,82.0,2,1.0,1.0
759600,545.0,1,1.0,1.0
766800,1.6198347107438016,242,0.38016528925619836,0.12396694214876033
770400,5.470588235294118,102,0.35294117647058826,0.14705882352941177
777600,6.954545454545454,22,0.7272727272727273,0.5454545454545454
781200,19.0,11,0.9090909090909091,0.7272727272727273
802800,2.0,1,1.0,0.0
806400,37.0,2,1.0,1.0
810000,251.5,2,1.0,1.0
817200,1.0948795180722892,1328,0.004518072289156626,0.0015060240963855422
820800,1.004024521503112,21369,0.0031821797931583136,9.359352332818569e-05
824400,1.0124992415508767,16481,0.008980037619076512,0.0005460833687276257
828000,1.1784989858012171,986,0.1592292089249493,0.016227180527383367
831600,1.1287297527706734,2346,0.11807331628303495,0.010230179028132993
835200,1.1485254691689009,1865,0.1319034852546917,0.015549597855227882
838800,1.0484756097560977,3280,0.04573170731707317,0.00274390243902439
842400,1.0079153872398499,14655,0.00764244285226885,0.00020470829068577277
846000,1.0032494885064387,33236,0.0032494885064388015,0.0
849600,1.0074015200437136,20131,0.007351845412547812,4.967463116586359e-05
853200,1.0154517015830884,10549,0.015072518722153759,0.00028438714570101434
856800,1.018677192644652,10387,0.018195821700202175,0.000481370944449793
860400,1.0116147599958887,9729,0.011409189022510022,0.00020557097337855896
864000,1.002989401213878,11039,0.0029894012138780685,0.0
867600,1.003020887277749,11586,0.0029345762126704645,8.631106507854307e-05
871200,1.0012882171075232,11644,0.001288217107523188,0.0
874800,1.0000736431254142,13579,7.364312541424258e-05,0.0
878400,1.0000706763728886,14149,7.067637288854337e-05,0.0
882000,1.0,13725,0.0,0.0
885600,1.0,4530,0.0,0.0
889200,23.0,1,1.0,1.0
896400,1.0070776680946172,5369,0.005587632706276774,0.00018625442354255913
900000,1.1509661835748792,1656,0.013285024154589372,0.0036231884057971015
910800,22.142857142857142,7,0.2857142857142857,0.14285714285714285
918000,99.0,2,1.0,1.0
921600,1.1012658227848102,711,0.029535864978902954,0.007032348804500703
925200,1.4414893617021276,188,0.09042553191489362,0.02127659574468085
928800,1.050909090909091,1375,0.03709090909090909,0.002909090909090909
932400,3.4349442379182156,269,0.03717472118959108,0.007434944237918215
961200,2.0,1,1.0,0.0
964800,1.0,1,0.0,0.0
975600,12.0,1,1.0,1.0
982800,311.0,1,1.0,1.0
997200,1.65,200,0.115,0.02
1000800,1.0725,800,0.0475,0.00375
1004400,1.913151364764268,403,0.034739454094292806,0.004962779156327543
1015200,517.0,1,1.0,1.0
1033200,16.25,12,0.8333333333333334,0.5833333333333334
1036800,20.22222222222222,9,0.8888888888888888,0.5555555555555556
1054800,1.0,1,0.0,0.0
1062000,153.0,1,1.0,1.0
1069200,169.75,4,0.75,0.5
1083600,1.1545064377682404,233,0.14163090128755365,0.012875536480686695
1087200,1.18084345961401,1399,0.1601143674052895,0.016440314510364547
1090800,1.235191637630662,1148,0.1986062717770035,0.028745644599303136
1094400,2.4110169491525424,236,0.3008474576271186,0.1440677966101695
1098000,5.346938775510204,49,0.9183673469387755,0.7142857142857143
1101600,2.9183673469387754,49,0.6122448979591837,0.3877551020408163
1105200,3.6122448979591835,49,0.8775510204081632,0.6530612244897959
1108800,5.354166666666667,48,0.9375,0.7916666666666666
1112400,3.8653846153846154,52,0.8269230769230769,0.5384615384615384
1116000,3.6065573770491803,61,0.7540983606557377,0.6229508196721312
1119600,1.1997716894977168,876,0.13013698630136986,0.026255707762557076
1123200,1.0559157212317667,1234,0.05429497568881685,0.0016207455429497568
1126800,1.0552884615384615,832,0.04326923076923077,0.006009615384615385
1130400,1.459016393442623,61,0.18032786885245902,0.06557377049180328
1137600,7.0,1,1.0,1.0
1144800,222.0,1,1.0,1.0
1155600,43.5,2,1.0,1.0
1159200,31.363636363636363,11,1.0,1.0
1162800,32.0,8,1.0,1.0
1166400,29.2,5,1.0,1.0
1170000,4.634615384615385,52,0.8846153846153846,0.6153846153846154
1173600,4.475409836065574,61,0.9016393442622951,0.6885245901639344
1177200,6.224489795918367,49,0.9387755102040817,0.8571428571428571
1180800,8.39622641509434,53,0.9622641509433962,0.9056603773584906
1184400,4.666666666666667,51,0.9607843137254902,0.8823529411764706
1188000,3.8793103448275863,58,0.9137931034482759,0.7413793103448276
1191600,35.064516129032256,31,0.8387096774193549,0.6129032258064516
1234800,719.0,1,1.0,1.0
1252800,14.11111111111111,9,0.4444444444444444,0.2222222222222222
1256400,1.005112651646447,11540,0.005112651646447141,0.0
1260000,1.0087037291867345,29068,0.008669327095087382,3.440209164717215e-05
1263600,1.0137466307277627,14840,0.013477088948787063,0.00026954177897574127
1267200,1.01917304154159,10327,0.01839837319647526,0.0006778348019754043
1270800,1.0954415954415955,2106,0.0892687559354226,0.006172839506172839
1274400,1.5072886297376094,343,0.11078717201166181,0.008746355685131196
1278000,1.256020278833967,789,0.06590621039290241,0.010139416983523447
1281600,1.0717969059896866,2521,0.0646568821896073,0.005950019833399445
1285200,1.1366251198465964,2086,0.08101629913710451,0.00862895493767977
1288800,2.1869158878504673,107,0.27102803738317754,0.21495327102803738
1292400,1.8,135,0.18518518518518517,0.13333333333333333
1296000,3.5833333333333335,24,0.25,0.125
1299600,1.2,85,0.15294117647058825,0.03529411764705882
1303200,1.391304347826087,92,0.16304347826086957,0.07608695652173914
1310400,2.0,1,1.0,0.0
1314000,5.0,1,1.0,1.0
1317600,4.0,1,1.0,1.0
1321200,46.0,1,1.0,1.0
1328400,3.715686274509804,102,0.11764705882352941,0.0196078431372549
1332000,2.9514563106796117,309,0.061488673139158574,0.032362459546925564
1335600,1.6363636363636365,66,0.16666666666666666,0.030303030303030304
1339200,1.0867302688638334,1153,0.07372072853425846,0.003469210754553339
1342800,1.94,200,0.11,0.015
1346400,1.189142857142857,1750,0.08171428571428571,0.016
1350000,1.9423558897243107,399,0.08521303258145363,0.05513784461152882
1353600,1.1036225779275484,3561,0.09407469811850604,0.008424599831508003
1357200,1.5425531914893618,470,0.10638297872340426,0.02553191489361702
1360800,1.6226415094339623,159,0.2830188679245283,0.09433962264150944
1364400,1.5212355212355213,259,0.2972972972972973,0.09652509652509653
1368000,2.1446540880503147,159,0.44654088050314467,0.24528301886792453
1371600,1.4576719576719577,378,0.17989417989417988,0.06084656084656084
1375200,1.4358288770053476,374,0.16844919786096257,0.0374331550802139
1378800,1.8305084745762712,177,0.23728813559322035,0.1016949152542373
1382400,1.048587570621469,885,0.04293785310734463,0.0022598870056497176
1386000,1.0501113585746102,898,0.043429844097995544,0.004454342984409799
1389600,1.4492753623188406,138,0.16666666666666666,0.09420289855072464
1393200,1.4166666666666667,12,0.08333333333333333,0.08333333333333333
1400400,28.0,1,1.0,1.0
1407600,1.3020833333333333,96,0.010416666666666666,0.010416666666666666
1411200,1.0222222222222221,135,0.022222222222222223,0.0
1414800,1.0701754385964912,1254,0.05342902711323764,0.001594896331738437
1418400,1.1330818965517242,1856,0.1136853448275862,0.01670258620689655
1422000,1.147037830121342,1401,0.1284796573875803,0.01284796573875803
1425600,1.1074918566775245,1228,0.09364820846905537,0.007328990228013029
1429200,1.1316239316239316,1170,0.11538461538461539,0.009401709401709401
1432800,1.217477656405164,1007,0.1807348560079444,0.025819265143992055
1436400,1.3897435897435897,585,0.13504273504273503,0.015384615384615385
1440000,1.0765999505806771,4047,0.05460835186557944,0.005189028910303929
1443600,1.0330866347409664,4594,0.030692207226817588,0.00130605137135394
1447200,1.62,200,0.205,0.1
1450800,4.634146341463414,41,0.36585365853658536,0.2926829268292683
1454400,9.391304347826088,23,0.4782608695652174,0.4782608695652174
1458000,5.545454545454546,33,0.3939393939393939,0.36363636363636365
1461600,38.0,5,0.4,0.4
1465200,1.2550143266475644,349,0.0659025787965616,0.02865329512893983
1468800,1.0516545601291365,1239,0.048426150121065374,0.003228410008071025
1472400,1.0408626560726448,881,0.039727582292849034,0.0011350737797956867
1476000,1.0342465753424657,584,0.03424657534246575,0.0
1479600,1.0384615384615385,494,0.03643724696356275,0.0020242914979757085
1483200,1.0196850393700787,762,0.01837270341207349,0.0013123359580052493
1486800,1.0094142259414225,956,0.009414225941422594,0.0
1490400,1.0050377833753148,397,0.005037783375314861,0.0
1494000,28.0,1,1.0,1.0
1501200,5.533333333333333,15,0.2,0.13333333333333333
1504800,194.0,1,1.0,1.0
1512000,1.4610687022900763,655,0.07022900763358779,0.010687022900763359
1522800,1.1219512195121952,123,0.08130081300813008,0.016260162601626018
1526400,3.3823529411764706,34,0.5,0.38235294117647056
1530000,1.1643835616438356,438,0.07077625570776255,0.02054794520547945
1533600,1.057218309859155,1136,0.05457746478873239,0.002640845070422535
1537200,1.0569892473118279,930,0.053763440860215055,0.0032258064516129032
1540800,1.0849056603773586,848,0.08018867924528301,0.0047169811320754715
1544400,1.1829268292682926,656,0.12042682926829268,0.03353658536585366
1548000,1.0511049723756907,1448,0.04834254143646409,0.0027624309392265192
1551600,1.0346129641283826,1589,0.03146633102580239,0.0031466331025802393
1555200,1.090146750524109,954,0.0870020964360587,0.0031446540880503146
1558800,1.0306513409961686,522,0.03065134099616858,0.0
1562400,1.0458333333333334,720,0.044444444444444446,0.001388888888888889
1566000,1.0020746887966805,964,0.002074688796680498,0.0
1569600,1.029810298102981,369,0.01084010840108401,0.0027100271002710027
1584000,1.0,1,0.0,0.0
1587600,116.0,1,1.0,1.0
1591200,12.0,1,1.0,1.0
1594800,23.8,5,1.0,0.8
1598400,1.0695652173913044,230,0.043478260869565216,0.008695652173913044
1602000,1.4705882352941178,323,0.10835913312693499,0.034055727554179564
1609200,2.5170454545454546,176,0.03409090909090909,0.017045454545454544
1612800,4.5,8,0.5,0.5
1616400,1.1526548672566372,452,0.0752212389380531,0.015486725663716814
1620000,1.0154924382146808,2711,0.01549243821468093,0.0
1623600,1.0287230721198877,3203,0.0280986575085857,0.0006244146113019045
1627200,1.038471673254282,3795,0.03768115942028986,0.0007905138339920949
1630800,1.0856785490931833,1599,0.06816760475297061,0.010631644777986242
1634400,1.0926640926640927,1554,0.07078507078507079,0.016087516087516088
1638000,1.023023578363384,3605,0.021914008321775313,0.0008321775312066575
1641600,1.1514563106796116,515,0.05825242718446602,0.009708737864077669
1645200,1.209009009009009,555,0.04144144144144144,0.0036036036036036037
1670400,1.0765027322404372,366,0.03278688524590164,0.00819672131147541
1674000,1.2663622526636225,657,0.1445966514459665,0.0228310502283105
1677600,1.116098144823459,1671,0.06702573309395571,0.010771992818671455
1681200,1.0781637717121588,3224,0.0716501240694789,0.004342431761786601
1684800,1.0230326295585412,3647,0.02275843158760625,0.00027419797093501506
1688400,2.4786324786324787,117,0.24786324786324787,0.17094017094017094
1692000,1.4759615384615385,416,0.21875,0.0889423076923077
1695600,1.1245196003074558,2602,0.10953112990007687,0.013066871637202153
1699200,1.0673135233474833,4947,0.0586213866990095,0.005255710531635335
1702800,1.0683287165281625,3249,0.06001846722068329,0.006463527239150508
1706400,1.1764044943820224,890,0.13370786516853933,0.016853932584269662
1710000,1.2932692307692308,832,0.1466346153846154,0.03365384615384615
1713600,1.4665354330708662,508,0.1830708661417323,0.10039370078740158
1717200,1.2719836400817996,978,0.10224948875255624,0.0541922290388548
1720800,1.050422138836773,4264,0.0450281425891182,0.0025797373358348967
1724400,1.0443363071100298,3699,0.032170856988375233,0.003784806704514734
1728000,1.008635961027458,4516,0.00841452612931798,0.00022143489813994686
1731600,1.0182203389830509,2360,0.01652542372881356,0.001271186440677966
1735200,1.0137741046831956,2178,0.013774104683195593,0.0
1738800,1.014388489208633,1112,0.013489208633093525,0.0008992805755395684
1742400,1.0013831258644537,723,0.0013831258644536654,0.0
1746000,1.007256894049347,689,0.00725689404934688,0.0
1749600,1.0,996,0.0,0.0
1753200,1.010934393638171,1006,0.010934393638170975,0.0
1756800,1.0265613783201724,1393,0.007896625987078248,0.0014357501794687725
1760400,1.0651699407545994,3207,0.04708450265045214,0.002182725288431556
1764000,1.0944055944055944,4004,0.08016983016983018,0.01048951048951049
1767600,1.0751279426816787,4885,0.06980552712384852,0.004708290685772774
1771200,1.0220554797635288,4398,0.021373351523419737,0.0006821282401091405
1774800,1.0520094562647755,2961,0.04525498142519419,0.006416751097602162
1778400,1.0543041029766693,4972,0.05128720836685439,0.0030168946098149637
1782000,1.0652914458743377,5284,0.06169568508705526,0.0034065102195306586
1785600,1.057616268122764,5311,0.053285633590660894,0.003954057616268123
1789200,1.049781181619256,3656,0.04677242888402626,0.002735229759299781
1792800,1.0216450216450217,3465,0.02106782106782107,0.0005772005772005772
1796400,1.0341440598690366,4276,0.03344246959775491,0.0007015902712815715
1800000,1.0280198188962926,5853,0.026823851016572697,0.0010251153254741158
1803600,1.034407427635172,3662,0.031676679410158386,0.0024576734025122883
1807200,1.0423832923832923,3256,0.04054054054054054,0.0018427518427518428
1810800,1.0610549132947977,2768,0.05455202312138728,0.00541907514450867
1814400,1.0693618707887436,2523,0.06619104240982956,0.0027744748315497426
1818000,1.00672697749942,4311,0.006495012758060774,0.00023196474135931338
1821600,1.14453125,256,0.1015625,0.03125
1825200,1.0591900311526479,321,0.04672897196261682,0.009345794392523364
1828800,1.0083565459610029,359,0.008356545961002786,0.0
1832400,1.022038567493113,363,0.02203856749311295,0.0
1836000,2.0282485875706215,354,0.022598870056497175,0.002824858757062147
1850400,1.5458515283842795,229,0.32751091703056767,0.1091703056768559
1854000,1.5109649122807018,456,0.3618421052631579,0.10964912280701754
1857600,1.1728624535315986,538,0.12639405204460966,0.031598513011152414
1861200,1.3777777777777778,450,0.1288888888888889,0.09111111111111111
1864800,1.6675,400,0.16,0.1375
1868400,1.1458982346832813,1926,0.06697819314641744,0.02336448598130841
1872000,1.0562913907284768,5738,0.0325897525270129,0.006796793307772743
1875600,1.0155123977036766,16374,0.015268107976059606,0.0002442897276169537
1879200,1.0277324632952691,8582,0.026567233745047776,0.0011652295502213937
1882800,1.0455376737381126,5468,0.033650329188002925,0.0036576444769568397
1886400,1.1263368983957218,1496,0.05548128342245989,0.022058823529411766
1890000,1.02122969837587,8620,0.02053364269141531,0.000580046403712297
1893600,1.0499643112062813,2802,0.03283369022127052,0.011063526052819414
1897200,1.303030303030303,495,0.1696969696969697,0.0707070707070707
1900800,1.1342710997442456,782,0.08823529411764706,0.029411764705882353
1904400,1.0727482678983833,866,0.05542725173210162,0.012702078521939953
1908000,1.0303347280334727,956,0.02510460251046025,0.0041841004184100415
1911600,1.0304114490161003,559,0.01073345259391771,0.0035778175313059034
1922400,1.0,1,0.0,0.0
1926000,212.0,1,1.0,1.0
1933200,1.3620689655172413,116,0.08620689655172414,0.06896551724137931
1936800,1.4333333333333333,750,0.10933333333333334,0.088
1940400,1.5338983050847457,354,0.17796610169491525,0.1271186440677966
1944000,1.0524737631184409,1334,0.02848575712143928,0.009745127436281859
1947600,1.3843843843843844,333,0.17717717717717718,0.1021021021021021
1951200,1.7953795379537953,303,0.2607260726072607,0.18151815181518152
1954800,1.4907749077490775,542,0.15129151291512916,0.11070110701107011
1958400,1.7762039660056657,353,0.24079320113314448,0.16147308781869688
1962000,1.7748091603053435,262,0.2862595419847328,0.17557251908396945
1965600,1.079925650557621,1076,0.07342007434944238,0.006505576208178439
1969200,1.13046875,1280,0.09609375,0.01640625
1972800,1.035818878125704,4439,0.027708943455733274,0.0051813471502590676
1976400,2.1913875598086126,209,0.42105263157894735,0.2966507177033493
1980000,1.1088435374149659,1470,0.0673469387755102,0.02312925170068027
1983600,1.0246646473388143,4622,0.023799221116399826,0.0008654262224145391
1987200,1.1324435318275154,974,0.09958932238193019,0.026694045174537988
1990800,1.0806159420289856,1104,0.06702898550724638,0.010869565217391304
1994400,1.0188235294117647,850,0.018823529411764704,0.0
1998000,1.003690036900369,1084,0.0036900369003690036,0.0
2001600,1.00871839581517,1147,0.008718395815170008,0.0
2005200,1.0174165457184325,689,0.01741654571843251,0.0
2008800,1.0236051502145922,466,0.019313304721030045,0.004291845493562232
