time_bin,avg_turns,p90_turns,p95_turns,session_count
0,85.0,85.0,85.0,1
14400,1.0,1.0,1.0,1
18000,5.0,5.0,5.0,1
25200,5.0,8.2,8.6,2
28800,1914.0,1914.0,1914.0,1
61200,28.8,83.89999999999999,92.44999999999997,10
64800,581.0,1044.2,1102.1,2
93600,8.0,8.0,8.0,1
97200,6.5,10.9,11.45,2
104400,596.0,596.0,596.0,1
126000,251.5,443.90000000000003,467.95,2
136800,1078.0,1930.8,2037.3999999999999,2
198000,464.0,464.0,464.0,1
212400,2050.0,2050.0,2050.0,1
273600,7.0,7.0,7.0,1
277200,1.0,1.0,1.0,1
284400,542.0,542.0,542.0,1
313200,547.0,982.2,1036.6,2
356400,8.0,8.0,8.0,1
360000,10.0,10.0,10.0,1
363600,2.0,2.0,2.0,1
374400,1328.0,1328.0,1328.0,1
417600,812.0,812.0,812.0,1
446400,11.0,19.0,20.0,2
457200,77.0,77.0,77.0,1
464400,279.0,279.0,279.0,1
468000,121.375,285.89999999999986,601.9499999999996,8
486000,35.857142857142854,109.80000000000001,116.39999999999998,7
489600,59.833333333333336,167.0,184.0,6
493200,717.0,717.0,717.0,1
507600,8.0,8.0,8.0,1
511200,18.22222222222222,46.80000000000001,64.39999999999998,9
514800,36.5,47.89999999999989,186.94999999999968,10
540000,9.0,9.0,9.0,1
543600,202.0,202.0,202.0,1
550800,1.4757281553398058,2.0,2.0,103
554400,9.907142857142857,1.0,2.0,140
572400,235.0,414.2,436.59999999999997,2
583200,1020.0,1020.0,1020.0,1
612000,2.5,3.7,3.8499999999999996,2
615600,1.0,1.0,1.0,1
622800,8.0,8.0,8.0,1
630000,1.0,1.0,1.0,1
633600,418.0,418.0,418.0,1
640800,53.2,151.60000000000002,197.79999999999995,5
648000,22.75,4.0,116.04999999999983,12
655200,115.5,167.1,173.54999999999998,2
658800,69.2,174.20000000000002,221.59999999999997,5
662400,37.0,97.30000000000003,116.64999999999995,4
666000,139.66666666666666,325.0,364.49999999999994,3
669600,62.5,172.00000000000006,207.99999999999991,4
676800,205.0,205.0,205.0,1
680400,378.0,378.0,378.0,1
684000,7.0,17.400000000000002,22.199999999999996,5
687600,18.666666666666668,71.39999999999998,104.89999999999999,15
691200,57.25,156.30000000000004,189.14999999999992,4
712800,22.0,22.0,22.0,1
720000,7.75,19.500000000000004,23.249999999999993,4
723600,12.695652173913043,21.400000000000002,58.89999999999994,23
727200,28.52173913043478,17.000000000000004,30.59999999999998,23
730800,387.0,387.0,387.0,1
741600,2.124561403508772,1.0,1.0,570
745200,206.0,206.0,206.0,1
748800,233.0,408.2,430.09999999999997,2
756000,82.0,129.2,135.1,2
759600,545.0,545.0,545.0,1
766800,1.6198347107438016,3.0,3.0,242
770400,5.470588235294118,5.900000000000006,18.59999999999991,102
777600,6.954545454545454,17.50000000000001,37.94999999999999,22
781200,19.0,10.0,88.5,11
802800,2.0,2.0,2.0,1
806400,37.0,57.8,60.4,2
810000,251.5,450.3,475.15,2
817200,1.0948795180722892,1.0,1.0,1328
820800,1.004024521503112,1.0,1.0,21369
824400,1.0124992415508767,1.0,1.0,16481
828000,1.1784989858012171,2.0,2.0,986
831600,1.1287297527706734,2.0,2.0,2346
835200,1.1485254691689009,2.0,2.0,1865
838800,1.0484756097560977,1.0,1.0,3280
842400,1.0079153872398499,1.0,1.0,14655
846000,1.0032494885064387,1.0,1.0,33236
849600,1.0074015200437136,1.0,1.0,20131
853200,1.0154517015830884,1.0,1.0,10549
856800,1.018677192644652,1.0,1.0,10387
860400,1.0116147599958887,1.0,1.0,9729
864000,1.002989401213878,1.0,1.0,11039
867600,1.003020887277749,1.0,1.0,11586
871200,1.0012882171075232,1.0,1.0,11644
874800,1.0000736431254142,1.0,1.0,13579
878400,1.0000706763728886,1.0,1.0,14149
882000,1.0,1.0,1.0,13725
885600,1.0,1.0,1.0,4530
889200,23.0,23.0,23.0,1
896400,1.0070776680946172,1.0,1.0,5369
900000,1.1509661835748792,1.0,1.0,1656
910800,22.142857142857142,60.40000000000005,104.1999999999999,7
918000,99.0,175.0,184.5,2
921600,1.1012658227848102,1.0,1.0,711
925200,1.4414893617021276,1.0,2.0,188
928800,1.050909090909091,1.0,1.0,1375
932400,3.4349442379182156,1.0,1.0,269
961200,2.0,2.0,2.0,1
964800,1.0,1.0,1.0,1
975600,12.0,12.0,12.0,1
982800,311.0,311.0,311.0,1
997200,1.65,2.0,2.0,200
1000800,1.0725,1.0,1.0,800
1004400,1.913151364764268,1.0,1.0,403
1015200,517.0,517.0,517.0,1
1033200,16.25,43.80000000000001,66.69999999999996,12
1036800,20.22222222222222,42.60000000000002,91.79999999999995,9
1054800,1.0,1.0,1.0,1
1062000,153.0,153.0,153.0,1
1069200,169.75,471.60000000000014,571.7999999999997,4
1083600,1.1545064377682404,2.0,2.0,233
1087200,1.18084345961401,2.0,2.0,1399
1090800,1.235191637630662,2.0,2.0,1148
1094400,2.4110169491525424,5.0,8.25,236
1098000,5.346938775510204,9.600000000000009,16.19999999999996,49
1101600,2.9183673469387754,5.0,8.799999999999983,49
1105200,3.6122448979591835,6.0,7.0,49
1108800,5.354166666666667,11.0,12.0,48
1112400,3.8653846153846154,6.0,9.699999999999974,52
1116000,3.6065573770491803,6.0,8.0,61
1119600,1.1997716894977168,2.0,2.0,876
1123200,1.0559157212317667,1.0,2.0,1234
1126800,1.0552884615384615,1.0,1.0,832
1130400,1.459016393442623,2.0,3.0,61
1137600,7.0,7.0,7.0,1
1144800,222.0,222.0,222.0,1
1155600,43.5,75.9,79.95,2
1159200,31.363636363636363,65.0,105.0,11
1162800,32.0,93.5,98.74999999999999,8
1166400,29.2,71.4,88.19999999999999,5
1170000,4.634615384615385,9.0,12.349999999999987,52
1173600,4.475409836065574,8.0,10.0,61
1177200,6.224489795918367,9.0,10.599999999999994,49
1180800,8.39622641509434,13.800000000000004,18.39999999999999,53
1184400,4.666666666666667,7.0,8.5,51
1188000,3.8793103448275863,6.300000000000004,7.0,58
1191600,35.064516129032256,5.0,6.0,31
1234800,719.0,719.0,719.0,1
1252800,14.11111111111111,25.40000000000002,70.19999999999996,9
1256400,1.005112651646447,1.0,1.0,11540
1260000,1.0087037291867345,1.0,1.0,29068
1263600,1.0137466307277627,1.0,1.0,14840
1267200,1.01917304154159,1.0,1.0,10327
1270800,1.0954415954415955,1.0,2.0,2106
1274400,1.5072886297376094,2.0,2.0,343
1278000,1.256020278833967,1.0,2.0,789
1281600,1.0717969059896866,1.0,2.0,2521
1285200,1.1366251198465964,1.0,2.0,2086
1288800,2.1869158878504673,5.0,6.699999999999989,107
1292400,1.8,3.0,4.0,135
1296000,3.5833333333333335,2.6999999999999993,3.0,24
1299600,1.2,2.0,2.0,85
1303200,1.391304347826087,2.0,3.0,92
1310400,2.0,2.0,2.0,1
1314000,5.0,5.0,5.0,1
1317600,4.0,4.0,4.0,1
1321200,46.0,46.0,46.0,1
1328400,3.715686274509804,2.0,2.0,102
1332000,2.9514563106796117,1.0,2.0,309
1335600,1.6363636363636365,2.0,2.0,66
1339200,1.0867302688638334,1.0,2.0,1153
1342800,1.94,2.0,2.0,200
1346400,1.189142857142857,1.0,2.0,1750
1350000,1.9423558897243107,1.0,3.0,399
1353600,1.1036225779275484,1.0,2.0,3561
1357200,1.5425531914893618,2.0,2.0,470
1360800,1.6226415094339623,2.0,3.0,159
1364400,1.5212355212355213,2.0,3.0,259
1368000,2.1446540880503147,4.0,5.099999999999994,159
1371600,1.4576719576719577,2.0,3.0,378
1375200,1.4358288770053476,2.0,2.0,374
1378800,1.8305084745762712,2.4000000000000057,4.199999999999989,177
1382400,1.048587570621469,1.0,1.0,885
1386000,1.0501113585746102,1.0,1.0,898
1389600,1.4492753623188406,2.0,4.150000000000006,138
1393200,1.4166666666666667,1.0,3.2499999999999964,12
1400400,28.0,28.0,28.0,1
1407600,1.3020833333333333,1.0,1.0,96
1411200,1.0222222222222221,1.0,1.0,135
1414800,1.0701754385964912,1.0,2.0,1254
1418400,1.1330818965517242,2.0,2.0,1856
1422000,1.147037830121342,2.0,2.0,1401
1425600,1.1074918566775245,1.0,2.0,1228
1429200,1.1316239316239316,2.0,2.0,1170
1432800,1.217477656405164,2.0,2.0,1007
1436400,1.3897435897435897,2.0,2.0,585
1440000,1.0765999505806771,1.0,2.0,4047
1443600,1.0330866347409664,1.0,1.0,4594
1447200,1.62,2.0999999999999943,5.049999999999983,200
1450800,4.634146341463414,13.0,16.0,41
1454400,9.391304347826088,21.0,29.099999999999987,23
1458000,5.545454545454546,15.8,24.199999999999996,33
1461600,38.0,109.80000000000001,142.39999999999998,5
1465200,1.2550143266475644,1.0,2.0,349
1468800,1.0516545601291365,1.0,1.0,1239
1472400,1.0408626560726448,1.0,1.0,881
1476000,1.0342465753424657,1.0,1.0,584
1479600,1.0384615384615385,1.0,1.0,494
1483200,1.0196850393700787,1.0,1.0,762
1486800,1.0094142259414225,1.0,1.0,956
1490400,1.0050377833753148,1.0,1.0,397
1494000,28.0,28.0,28.0,1
1501200,5.533333333333333,2.5999999999999996,21.899999999999935,15
1504800,194.0,194.0,194.0,1
1512000,1.4610687022900763,1.0,2.0,655
1522800,1.1219512195121952,1.0,2.0,123
1526400,3.3823529411764706,8.0,10.699999999999996,34
1530000,1.1643835616438356,1.0,2.0,438
1533600,1.057218309859155,1.0,2.0,1136
1537200,1.0569892473118279,1.0,2.0,930
1540800,1.0849056603773586,1.0,2.0,848
1544400,1.1829268292682926,2.0,2.0,656
1548000,1.0511049723756907,1.0,1.0,1448
1551600,1.0346129641283826,1.0,1.0,1589
1555200,1.090146750524109,1.0,2.0,954
1558800,1.0306513409961686,1.0,1.0,522
1562400,1.0458333333333334,1.0,1.0,720
1566000,1.0020746887966805,1.0,1.0,964
1569600,1.029810298102981,1.0,1.0,369
1584000,1.0,1.0,1.0,1
1587600,116.0,116.0,116.0,1
1591200,12.0,12.0,12.0,1
1594800,23.8,49.0,51.0,5
1598400,1.0695652173913044,1.0,1.0,230
1602000,1.4705882352941178,2.0,2.0,323
1609200,2.5170454545454546,1.0,1.0,176
1612800,4.5,9.3,9.649999999999999,8
1616400,1.1526548672566372,1.0,2.0,452
1620000,1.0154924382146808,1.0,1.0,2711
1623600,1.0287230721198877,1.0,1.0,3203
1627200,1.038471673254282,1.0,1.0,3795
1630800,1.0856785490931833,1.0,2.0,1599
1634400,1.0926640926640927,1.0,2.0,1554
1638000,1.023023578363384,1.0,1.0,3605
1641600,1.1514563106796116,1.0,2.0,515
1645200,1.209009009009009,1.0,1.0,555
1670400,1.0765027322404372,1.0,1.0,366
1674000,1.2663622526636225,2.0,2.0,657
1677600,1.116098144823459,1.0,2.0,1671
1681200,1.0781637717121588,1.0,2.0,3224
1684800,1.0230326295585412,1.0,1.0,3647
1688400,2.4786324786324787,4.0,7.199999999999932,117
1692000,1.4759615384615385,2.0,4.0,416
1695600,1.1245196003074558,2.0,2.0,2602
1699200,1.0673135233474833,1.0,2.0,4947
1702800,1.0683287165281625,1.0,2.0,3249
1706400,1.1764044943820224,2.0,2.0,890
1710000,1.2932692307692308,2.0,2.0,832
1713600,1.4665354330708662,2.3000000000000114,4.0,508
1717200,1.2719836400817996,2.0,3.0,978
1720800,1.050422138836773,1.0,1.0,4264
1724400,1.0443363071100298,1.0,1.0,3699
1728000,1.008635961027458,1.0,1.0,4516
1731600,1.0182203389830509,1.0,1.0,2360
1735200,1.0137741046831956,1.0,1.0,2178
1738800,1.014388489208633,1.0,1.0,1112
1742400,1.0013831258644537,1.0,1.0,723
1746000,1.007256894049347,1.0,1.0,689
1749600,1.0,1.0,1.0,996
1753200,1.010934393638171,1.0,1.0,1006
1756800,1.0265613783201724,1.0,1.0,1393
1760400,1.0651699407545994,1.0,1.0,3207
1764000,1.0944055944055944,1.0,2.0,4004
1767600,1.0751279426816787,1.0,2.0,4885
1771200,1.0220554797635288,1.0,1.0,4398
1774800,1.0520094562647755,1.0,1.0,2961
1778400,1.0543041029766693,1.0,2.0,4972
1782000,1.0652914458743377,1.0,2.0,5284
1785600,1.057616268122764,1.0,2.0,5311
1789200,1.049781181619256,1.0,1.0,3656
1792800,1.0216450216450217,1.0,1.0,3465
1796400,1.0341440598690366,1.0,1.0,4276
1800000,1.0280198188962926,1.0,1.0,5853
1803600,1.034407427635172,1.0,1.0,3662
1807200,1.0423832923832923,1.0,1.0,3256
1810800,1.0610549132947977,1.0,2.0,2768
1814400,1.0693618707887436,1.0,2.0,2523
1818000,1.00672697749942,1.0,1.0,4311
1821600,1.14453125,1.5,2.0,256
1825200,1.0591900311526479,1.0,1.0,321
1828800,1.0083565459610029,1.0,1.0,359
1832400,1.022038567493113,1.0,1.0,363
1836000,2.0282485875706215,1.0,1.0,354
1850400,1.5458515283842795,3.0,3.0,229
1854000,1.5109649122807018,3.0,3.0,456
1857600,1.1728624535315986,2.0,2.0,538
1861200,1.3777777777777778,2.0,4.0,450
1864800,1.6675,4.100000000000023,6.0,400
1868400,1.1458982346832813,1.0,2.0,1926
1872000,1.0562913907284768,1.0,1.0,5738
1875600,1.0155123977036766,1.0,1.0,16374
1879200,1.0277324632952691,1.0,1.0,8582
1882800,1.0455376737381126,1.0,1.0,5468
1886400,1.1263368983957218,1.0,2.0,1496
1890000,1.02122969837587,1.0,1.0,8620
1893600,1.0499643112062813,1.0,1.0,2802
1897200,1.303030303030303,2.0,3.0,495
1900800,1.1342710997442456,1.0,2.0,782
1904400,1.0727482678983833,1.0,2.0,866
1908000,1.0303347280334727,1.0,1.0,956
1911600,1.0304114490161003,1.0,1.0,559
1922400,1.0,1.0,1.0,1
1926000,212.0,212.0,212.0,1
1933200,1.3620689655172413,1.0,5.0,116
1936800,1.4333333333333333,2.0,5.0,750
1940400,1.5338983050847457,3.6999999999999886,5.0,354
1944000,1.0524737631184409,1.0,1.0,1334
1947600,1.3843843843843844,2.8000000000000114,4.0,333
1951200,1.7953795379537953,4.0,5.0,303
1954800,1.4907749077490775,3.0,5.0,542
1958400,1.7762039660056657,4.0,6.0,353
1962000,1.7748091603053435,4.0,6.0,262
1965600,1.079925650557621,1.0,2.0,1076
1969200,1.13046875,1.0,2.0,1280
1972800,1.035818878125704,1.0,1.0,4439
1976400,2.1913875598086126,5.0,6.0,209
1980000,1.1088435374149659,1.0,2.0,1470
1983600,1.0246646473388143,1.0,1.0,4622
1987200,1.1324435318275154,1.0,2.0,974
1990800,1.0806159420289856,1.0,2.0,1104
1994400,1.0188235294117647,1.0,1.0,850
1998000,1.003690036900369,1.0,1.0,1084
2001600,1.00871839581517,1.0,1.0,1147
2005200,1.0174165457184325,1.0,1.0,689
2008800,1.0236051502145922,1.0,1.0,466
2012400,2.619718309859155,1.0,1.0,213
2023200,9.785714285714286,6.0,36.79999999999997,14
2026800,3.433734939759036,2.0,2.8999999999999915,83
2030400,1.034677990092003,1.0,1.0,2826
2034000,1.0698151950718686,1.0,1.0,2435
2037600,1.262002743484225,2.0,3.0,729
2041200,1.1603009259259258,2.0,2.0,1728
2044800,1.1839835728952772,2.0,2.0,2435
2048400,1.0429123449257678,1.0,1.0,4917
2052000,1.037473976405274,1.0,1.0,2882
2055600,1.3087557603686637,2.0,3.0,651
2059200,1.1074099252209382,1.0,2.0,1471
2062800,1.2321428571428572,2.0,3.0,560
2066400,1.161764705882353,2.0,2.0,544
2070000,1.2793017456359101,2.0,3.0,401
2073600,1.0245691235790246,1.0,1.0,2727
2077200,1.022574740695546,1.0,1.0,3278
2080800,1.0227848101265822,1.0,1.0,790
2091600,5.0,5.0,5.0,1
2102400,522.0,522.0,522.0,1
2131200,36.5,64.1,67.55,2
2134800,1.1982758620689655,1.0,2.0,348
2138400,45.5,79.5,83.75,2
2142000,57.0,101.8,107.39999999999999,2
2149200,4.335766423357664,1.0,2.0,137
2167200,3.0,3.0,3.0,1
2170800,14.0,14.0,14.0,1
2178000,6.0,6.0,6.0,1
2188800,510.0,510.0,510.0,1
2210400,17.666666666666668,32.0,37.5,6
2214000,7.0285714285714285,16.800000000000004,25.699999999999946,35
2217600,4.384615384615385,12.699999999999996,15.899999999999991,52
2221200,3.3448275862068964,8.300000000000004,12.149999999999999,58
2224800,2.088607594936709,4.0,6.0,79
2228400,2.7866666666666666,3.0,8.499999999999957,75
2232000,1.2155172413793103,2.0,2.0,696
2235600,1.4328703703703705,1.0,2.0,864
2242800,2.054054054054054,3.700000000000003,7.0,74
2246400,1.5527638190954773,1.0,2.0,199
2253600,9.0,9.0,9.0,1
2271600,650.0,650.0,650.0,1
2289600,3.4482758620689653,3.0,4.0,58
2293200,7.146341463414634,8.0,13.0,41
2300400,11.307692307692308,9.5,19.0,26
2304000,14.65625,36.70000000000003,95.24999999999993,32
2307600,1.2932692307692308,1.0,2.0,208
2311200,1.9421965317919074,2.0,4.0,173
2314800,13.48,10.400000000000013,17.19999999999999,25
2318400,36.166666666666664,104.5,152.75,6
2322000,15.954545454545455,9.400000000000013,17.599999999999994,22
2329200,36.0,85.2,97.6,5
2332800,39.2,110.40000000000002,145.19999999999996,5
2354400,2.0,2.0,2.0,1
2358000,211.0,211.0,211.0,1
2365200,2.56,3.0,7.799999999999983,25
2368800,6.0625,6.0,23.049999999999997,80
2372400,23.666666666666668,46.800000000000004,50.9,3
2376000,1.3581560283687943,1.0,2.0,282
2379600,1.1243055555555554,1.0,2.0,1440
2383200,1.1521984216459977,1.0,2.0,1774
2386800,1.1284298780487805,1.0,2.0,2624
2390400,1.59375,2.0,3.0,352
2394000,3.134453781512605,3.0,5.099999999999994,119
2397600,1.151866151866152,1.0,2.0,777
2401200,1.1026645768025078,1.0,1.0,1276
2404800,1.0768854064642508,1.0,2.0,2042
2408400,1.6948640483383686,2.0,2.0,331
2412000,1.225130890052356,1.0,2.0,573
2415600,118.0,276.40000000000003,309.7,3
2437200,20.0,20.0,20.0,1
2440800,221.0,221.0,221.0,1
2455200,1.5,2.0,3.0,318
2458800,1.254431699687174,2.0,2.0,959
2462400,1.186138613861386,2.0,2.0,505
2466000,1.2811671087533156,2.0,3.0,754
2469600,1.0669354838709677,1.0,1.0,3720
2473200,1.2779017857142858,2.0,2.0,896
2476800,1.786610878661088,2.0,2.1499999999999773,478
2480400,1.2314662273476111,2.0,2.0,1214
2484000,1.9204545454545454,2.0,2.0,264
2487600,3.5,6.0,8.350000000000009,72
2491200,6.095238095238095,3.0,3.8999999999999986,63
2494800,6.666666666666667,9.0,17.999999999999915,18
2498400,19.25,7.699999999999999,10.549999999999994,24
2523600,6.0,6.0,6.0,1
2527200,16.0,16.0,16.0,1
2534400,357.0,357.0,357.0,1
2541600,164.5,294.5,310.75,2
2545200,33.0,33.0,33.0,1
2548800,1.0206584893479664,1.0,1.0,1549
2552400,1.0509174311926606,1.0,1.0,2180
2556000,1.1562005277044856,2.0,2.0,1895
2559600,1.0754901960784313,1.0,2.0,4080
2563200,1.10925492816572,1.0,2.0,2993
2566800,1.8277634961439588,2.0,2.0,389
2570400,1.2787610619469028,1.0,2.0,452
2574000,1.1179661016949152,1.0,1.0,1475
2577600,1.1087737301180092,1.0,1.0,1949
2581200,1.408366533864542,1.0,2.0,502
2584800,1.2576808721506443,1.0,2.0,1009
2588400,1.1372282608695652,1.0,1.0,736
2592000,1.7886178861788617,1.0,1.0,246
2610000,292.0,292.0,292.0,1
2628000,32.333333333333336,93.0,136.0,6
2631600,1.5305719921104537,1.0,2.0,507
2635200,792.0,792.0,792.0,1
2649600,1059.0,1059.0,1059.0,1
2685600,14.0,14.0,14.0,1
2692800,1.0,1.0,1.0,1
2696400,356.0,356.0,356.0,1
2728800,1.274787535410765,1.0,1.0,353
2732400,67.42857142857143,182.20000000000016,310.5999999999997,7
2743200,1.9615384615384615,2.0,3.0,78
2746800,12.66,3.0,3.0,50
2764800,1.1009708737864077,1.0,1.0,515
2775600,14.0,14.0,14.0,1
2782800,1.0,1.0,1.0,1
2786400,21.0,21.0,21.0,1
2790000,180.0,180.0,180.0,1
2804400,1.0512129380053907,1.0,1.849999999999909,1484
2808000,1.0653526970954357,1.0,2.0,964
2811600,1.0665701881331404,1.0,1.0,691
2815200,1.3846153846153846,1.0,1.0,312
2818800,1.0510062456627343,1.0,1.0,2882
2822400,1.1563307493540051,1.0,2.0,1548
2826000,11.727272727272727,3.7000000000000064,39.14999999999998,22
2836800,1.916083916083916,1.0,2.0,143
2840400,2.118279569892473,1.0,2.0,465
2869200,4.0,4.0,4.0,1
2876400,1.5,1.9,1.95,2
2880000,169.0,169.0,169.0,1
2883600,11.0,11.0,11.0,1
2887200,1.124927028604787,1.0,1.0,1713
2890800,1.0510791366906476,1.0,1.0,5560
2894400,1.0285372181201358,1.0,1.0,5011
2898000,1.0208675649030563,1.0,1.0,6086
2901600,1.0877371273712737,1.0,2.0,2952
2905200,1.103086014445174,1.0,2.0,3046
2908800,1.1709154113557358,2.0,2.0,1726
2912400,1.37292817679558,2.0,2.0,724
2916000,1.0453728661275832,1.0,1.0,2226
2919600,1.2958199356913183,1.0,2.0,622
2923200,1.0858403529883673,1.0,2.0,2493
